SDD สไลด์,ข้อ,ทำอะไร,ใครทำ / กี่ชั่วโมง,รวม (ชม.),เอกสาร LLDD
สไลด์ 43 · 46-51,TB-1.1,Step 1.0 — เพิ่มหน้าจองานค้าง แสดงร้านที่เข้าเงื่อนไขการเปิดกระทบ · เลือกงานของตนเอง · filter · checkbox เลือกหลายเอกสาร · popup ยืนยัน,BE(But) 9 ชม.  FE(lin) 12 ชม.,21,LLDD-BE-API-Document-List-Search · LLDD-FE-Document-Lists
สไลด์ 43 · 46-51,TB-1.2,Step 1.0 — เจ้าหน้าที่ SBP DSA คีย์ข้อมูลร้านเปิดกระทบเอง เพื่อให้ระบบคำนวณและ Adjust ยอดชดเชย,BE(Pete) 17 ชม.  BE(But) 11 ชม.  FE(New) 11 ชม.,39,LLDD-BE-API-Attachment-Sales-Timeline · LLDD-BE-API-Document-Create-Update · LLDD-FE-Document-Detail
สไลด์ 43 · 46-51,TB-1.3,Step 1.1 — ฝ่าย SBP DSA ตรวจสอบตัวเลข + ปุ่มพิจารณา 4 ปุ่ม (เห็นควรไม่ชดเชย · หยุดชดเชย · หน่วยงานส่งเสริมฯ SBP · เจ้าหน้าที่ SBP DSA),BE(Vava) 8 ชม.  FE(New) 11 ชม.,19,LLDD-BE-API-Document-Workflow-Actions · LLDD-FE-Document-Detail
สไลด์ 43 · 46-51,TB-1.4,เปิดเรื่องซ้ำได้เองโดยไม่ต้องเปิด SR — สาขาที่เคยถูกปฏิเสธ/หยุดชดเชย เปิดใหม่ได้ในเดือนเดียวกันหรือเดือนถัดไป,BE(But) 11 ชม.  BE(Vava) 8 ชม.  FE(lin) 12 ชม.,31,LLDD-BE-API-Document-Create-Update · LLDD-BE-API-Workflow-Instances · LLDD-FE-Document-Lists
สไลด์ 43 · 46-51,TB-1.5,auto-assign เจ้าของงานคนเดิม (สไลด์ 48) — (ก) เคสต่อเนื่อง ระบบส่งงานให้เจ้าหน้าที่ SBP DSA คนเดิม อัตโนมัติ · (ข) ฝ่าย SBP DSA คลิก เห็นควรไม่ชดเชย เอกสารจบและไม่แสดงในหน้ารอดำเนินการของ 06 ในเดือนนั้น แล้วเดือนถัดไประบบดึงเข้ามาใหม่พร้อมเจ้าของงานคนเดิม,BE(But) 9 ชม.  BE(Vava) 8 ชม.,17,LLDD-BE-API-Document-List-Search · LLDD-BE-API-Workflow-Instances
สไลด์ 43 · 46-51,TB-1.6,หยุดชดเชยประกันรายได้ (สไลด์ 46 ข้อ 1.9) — เอกสารกลับมาแสดงในหน้ารอดำเนินการของ ฝ่าย SBP DSA (06) ทันทีในเดือนนั้น ให้พิจารณาคำขอชดเชยอีกครั้งได้เอง · เปิดเอกสารแล้วเห็นข้อมูลเดิมครบ + แผงพิจารณาชุดเดียวกับสถานะ รอฝ่าย SBP DSA ดำเนินการ · บทบาทอื่นไม่เห็น,BE(But) 8 ชม.  FE(lin) 11 ชม.  FE(New) 11 ชม.,30,LLDD-BE-API-Document-List-Search · LLDD-FE-Document-Detail · LLDD-FE-Document-Lists
สไลด์ 43 · 46-51,TB-1.7,หลังพัฒนาไม่ต้องเปิด SR เพื่อลบข้อมูล (สไลด์ 46 · Note) — กระบวนการลบ/แก้ข้อมูลเอกสารที่เดิมต้องเปิด SR (มี log ที่ TransectionDeleteStore พร้อม SRNumber) ต้องทำได้ในระบบ · ยังไม่ระบุขอบเขต ต้องเคาะว่าอนุญาตให้ลบอะไรได้บ้างและใครลบได้,BE(But) 10 ชม.,10,LLDD-BE-API-Document-Create-Update
สไลด์ 43 · 46-51,TB-1.8,แก้ไขครอบคลุมเอกสารทุก Type (สไลด์ 46 · Note) — การเปลี่ยนแปลงข้อ TB-1 มีผลกับเอกสารทุกประเภทร้าน ไม่จำกัดเฉพาะ Type ใด Type หนึ่ง,BE(But) 16 ชม.  FE(New) 12 ชม.,28,LLDD-BE-API-Document-Detail-Aggregate · LLDD-FE-Document-Detail
สไลด์ 43 · 46-51,TB-1.9,ยอดชดเชย 0: เดือน 1-3 คลิก หน่วยงานส่งเสริมธุรกิจ SBP · เดือน 4 คลิก หยุดชดเชยรายได้,BE(Vava) 7 ชม.  FE(New) 8 ชม.,15,LLDD-BE-API-Document-Workflow-Actions · LLDD-FE-Create-Document
สไลด์ 43 · 46-51,TB-1.10,สิทธิ์การมองเห็น — เจ้าหน้าที่/ฝ่าย SBP DSA ดูรายละเอียดได้ทุกสาขา ไม่จำกัดเฉพาะงานที่รับผิดชอบ,BE(Pete) 17 ชม.  BE(But) 16 ชม.,33,LLDD-BE-API-Attachment-Sales-Timeline · LLDD-BE-API-Document-Detail-Aggregate
