Bucket,Task name,Assigned to,Hours,Step,Track,Labels,Checklist,LLDD link
To do,[BE] Database Structure and Deployment,Bank,31,1,BE,Step 1 | BE | DATABASE | 31+ hrs.,เขียน DDL / migration script | ตรวจ constraint + index + FK | rollback / rerun script | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-Database-Structure.pdf
To do,[BE] Integration with SBP Platform,Vava,20,1,BE,Step 1 | BE | WORKFLOW | BFF | 16-30 hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-Integration-SBP-Platform.pdf
To do,[BE] Workflow Engine Definition,Bank,24,1,BE,Step 1 | BE | WORKFLOW | 16-30 hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-Workflow-Engine-Definition.pdf
To do,[BE] API Common Contracts,But,18,2,BE,Step 2 | BE | API | WORKFLOW | 16-30 hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Common-Contracts.pdf
To do,[BE] Data Migration and Cutover,Bank,43,2,BE,Step 2 | BE | DATABASE | WORKFLOW | 31+ hrs.,เขียน DDL / migration script | ตรวจ constraint + index + FK | rollback / rerun script | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-Data-Migration-Cutover.pdf
To do,[BE] Job Batch and Email Integration,Pete,19,2,BE,Step 2 | BE | 16-30 hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-Job-Batch-Email-SRM.pdf
To do,[FE] Integration Contracts,lin,16,2,FE,Step 2 | FE | BFF | 16-30 hrs.,ทำ form/UI ตาม LLDD | ต่อ API + state | validate + error state | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/FE/LLDD-FE-Integration-Contracts.pdf
To do,[BE] API Attachment Sales and Timeline,Pete,34,3,BE,Step 3 | BE | API | WORKFLOW | 31+ hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Attachment-Sales-Timeline.pdf
To do,[BE] API Document Create and Update,But,32,3,BE,Step 3 | BE | API | WORKFLOW | 31+ hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Document-Create-Update.pdf
To do,[BE] API Document Detail Aggregate,But,32,3,BE,Step 3 | BE | API | WORKFLOW | 31+ hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Document-Detail-Aggregate.pdf
